,Entity,Continent,variable,value,Suma Sector,Suma Sector Cont,Porcentaje Sector,Porcentaje Sector Continenete
0,Afghanistan,Asia,Uso de tierras y bosques,150000.006,3676689972,1252609968,0.004079757,0.011974997
1,Armenia,Asia,Uso de tierras y bosques,39999.99911,3676689972,1252609968,0.001087935,0.003193332
2,Bangladesh,Asia,Uso de tierras y bosques,21760000.23,3676689972,1252609968,0.59183669,1.737172846
3,Brunei,Asia,Uso de tierras y bosques,340000.0036,3676689972,1252609968,0.009247448,0.027143326
4,Cambodia,Asia,Uso de tierras y bosques,31709999.08,3676689972,1252609968,0.86246051,2.53151419
5,Georgia,Asia,Uso de tierras y bosques,39999.99911,3676689972,1252609968,0.001087935,0.003193332
6,Indonesia,Asia,Uso de tierras y bosques,957349975.6,3676689972,1252609968,26.03836556,76.42841746
7,Iran,Asia,Uso de tierras y bosques,59999.99866,3676689972,1252609968,0.001631903,0.004789998
8,Iraq,Asia,Uso de tierras y bosques,500000,3676689972,1252609968,0.013599189,0.039916655
9,Israel,Asia,Uso de tierras y bosques,79999.99821,3676689972,1252609968,0.00217587,0.006386665
10,Laos,Asia,Uso de tierras y bosques,10149999.62,3676689972,1252609968,0.276063516,0.810308067
11,Malaysia,Asia,Uso de tierras y bosques,83089996.34,3676689972,1252609968,2.259913046,6.633349443
12,Mongolia,Asia,Uso de tierras y bosques,3099999.905,3676689972,1252609968,0.084314966,0.247483254
13,Myanmar,Asia,Uso de tierras y bosques,109699996.9,3676689972,1252609968,2.983661875,8.757713873
14,Nepal,Asia,Uso de tierras y bosques,4150000.095,3676689972,1252609968,0.112873267,0.331308244
15,North Korea,Asia,Uso de tierras y bosques,3339999.914,3676689972,1252609968,0.090842577,0.266643249
16,Oman,Asia,Uso de tierras y bosques,19999.99955,3676689972,1252609968,0.000543968,0.001596666
17,Pakistan,Asia,Uso de tierras y bosques,7000000,3676689972,1252609968,0.190388639,0.558833171
18,Philippines,Asia,Uso de tierras y bosques,2509999.99,3676689972,1252609968,0.068267926,0.200381608
19,Singapore,Asia,Uso de tierras y bosques,29999.99933,3676689972,1252609968,0.000815951,0.002394999
20,Sri Lanka,Asia,Uso de tierras y bosques,1909999.967,3676689972,1252609968,0.051948899,0.15248162
21,Thailand,Asia,Uso de tierras y bosques,15100000.38,3676689972,1252609968,0.410695503,1.205483013
22,Timor,Asia,Uso de tierras y bosques,479999.9893,3676689972,1252609968,0.013055221,0.038319988
23,Algeria,Africa,Uso de tierras y bosques,219999.9988,3676689972,1388910003,0.005983643,0.015839759
24,Angola,Africa,Uso de tierras y bosques,48610000.61,3676689972,1388910003,1.322113123,3.499866838
25,Benin,Africa,Uso de tierras y bosques,10770000.46,3676689972,1388910003,0.292926533,0.775428245
26,Botswana,Africa,Uso de tierras y bosques,41330001.83,3676689972,1388910003,1.124108972,2.975714894
27,Burkina Faso,Africa,Uso de tierras y bosques,24100000.38,3676689972,1388910003,0.655480896,1.735173649
28,Burundi,Africa,Uso de tierras y bosques,3480000.019,3676689972,1388910003,0.094650353,0.250556192
29,Cameroon,Africa,Uso de tierras y bosques,34659999.85,3676689972,1388910003,0.942695743,2.495482052
30,Central African Republic,Africa,Uso de tierras y bosques,26860000.61,3676689972,1388910003,0.730548423,1.933890644
31,Chad,Africa,Uso de tierras y bosques,24030000.69,3676689972,1388910003,0.653577018,1.730133748
32,Comoros,Africa,Uso de tierras y bosques,59999.99866,3676689972,1388910003,0.001631903,0.004319934
33,Congo,Africa,Uso de tierras y bosques,10869999.89,3676689972,1388910003,0.295646355,0.782628094
34,Cote d'Ivoire,Africa,Uso de tierras y bosques,26649999.62,3676689972,1388910003,0.724836737,1.918770803
35,Democratic Republic of Congo,Africa,Uso de tierras y bosques,624559997.6,3676689972,1388910003,16.98701828,44.96763622
