,Entity,Continent,variable,value,Suma Sector,Suma Sector Cont,Porcentaje Sector,Porcentaje Sector Continenete
0,Afghanistan,Asia,Aviacion y Envio (per capita),0.001051476,132.4634286,53.18670179,0.000793786,0.001976953
1,Armenia,Asia,Aviacion y Envio (per capita),0.074381419,132.4634286,53.18670179,0.056152418,0.139849654
2,Azerbaijan,Asia,Aviacion y Envio (per capita),0.106491834,132.4634286,53.18670179,0.080393385,0.200222669
3,Bahrain,Asia,Aviacion y Envio (per capita),1.02366364,132.4634286,53.18670179,0.77278963,1.924660875
4,Bangladesh,Asia,Aviacion y Envio (per capita),0.011285147,132.4634286,53.18670179,0.008519443,0.021217986
5,Bhutan,Asia,Aviacion y Envio (per capita),0.026209092,132.4634286,53.18670179,0.019785908,0.049277528
6,Brunei,Asia,Aviacion y Envio (per capita),0.807761908,132.4634286,53.18670179,0.60979994,1.518729081
7,Cambodia,Asia,Aviacion y Envio (per capita),0.03214743,132.4634286,53.18670179,0.02426891,0.060442608
8,China,Asia,Aviacion y Envio (per capita),0.046520259,132.4634286,53.18670179,0.035119323,0.08746596
9,Georgia,Asia,Aviacion y Envio (per capita),0.080064811,132.4634286,53.18670179,0.060442955,0.150535393
10,India,Asia,Aviacion y Envio (per capita),0.01322436,132.4634286,53.18670179,0.009983404,0.024864034
11,Indonesia,Asia,Aviacion y Envio (per capita),0.020027671,132.4634286,53.18670179,0.015119397,0.037655411
12,Iran,Asia,Aviacion y Envio (per capita),0.085510403,132.4634286,53.18670179,0.064553971,0.160774028
13,Iraq,Asia,Aviacion y Envio (per capita),0.073009804,132.4634286,53.18670179,0.055116952,0.137270787
14,Israel,Asia,Aviacion y Envio (per capita),0.550509989,132.4634286,53.18670179,0.415593946,1.035051941
15,Japan,Asia,Aviacion y Envio (per capita),0.263991207,132.4634286,53.18670179,0.199293654,0.496348143
16,Jordan,Asia,Aviacion y Envio (per capita),0.134630844,132.4634286,53.18670179,0.101636237,0.25312877
17,Kazakhstan,Asia,Aviacion y Envio (per capita),0.105113201,132.4634286,53.18670179,0.07935262,0.197630606
18,Kuwait,Asia,Aviacion y Envio (per capita),1.414283633,132.4634286,53.18670179,1.067678565,2.659092566
19,Kyrgyzstan,Asia,Aviacion y Envio (per capita),0.004675919,132.4634286,53.18670179,0.00352997,0.008791519
20,Laos,Asia,Aviacion y Envio (per capita),0.023711702,132.4634286,53.18670179,0.017900565,0.044582012
21,Lebanon,Asia,Aviacion y Envio (per capita),0.126901537,132.4634286,53.18670179,0.095801187,0.238596365
22,Malaysia,Asia,Aviacion y Envio (per capita),0.299845487,132.4634286,53.18670179,0.226360959,0.563760257
23,Maldives,Asia,Aviacion y Envio (per capita),0.546183586,132.4634286,53.18670179,0.412327834,1.026917571
24,Mongolia,Asia,Aviacion y Envio (per capita),0.043408617,132.4634286,53.18670179,0.032770266,0.081615547
25,Myanmar,Asia,Aviacion y Envio (per capita),0.004440709,132.4634286,53.18670179,0.003352404,0.008349285
26,Nepal,Asia,Aviacion y Envio (per capita),0.010486315,132.4634286,53.18670179,0.007916385,0.019716047
27,Oman,Asia,Aviacion y Envio (per capita),1.262313604,132.4634286,53.18670179,0.952952538,2.373363194
28,Pakistan,Asia,Aviacion y Envio (per capita),0.011451511,132.4634286,53.18670179,0.008645036,0.021530778
29,Philippines,Asia,Aviacion y Envio (per capita),0.046801314,132.4634286,53.18670179,0.035331498,0.08799439
30,Qatar,Asia,Aviacion y Envio (per capita),5.225857735,132.4634286,53.18670179,3.945132472,9.825496898
31,Saudi Arabia,Asia,Aviacion y Envio (per capita),0.630024135,132.4634286,53.18670179,0.47562119,1.184551991
32,Singapore,Asia,Aviacion y Envio (per capita),30.43410683,132.4634286,53.18670179,22.97547871,57.22127111
33,South Korea,Asia,Aviacion y Envio (per capita),0.859535873,132.4634286,53.18670179,0.648885419,1.616072898
34,Sri Lanka,Asia,Aviacion y Envio (per capita),0.167419076,132.4634286,53.18670179,0.126388904,0.314776195
35,Syria,Asia,Aviacion y Envio (per capita),0.069712408,132.4634286,53.18670179,0.052627664,0.131071124
36,Tajikistan,Asia,Aviacion y Envio (per capita),0.013946966,132.4634286,53.18670179,0.010528918,0.026222657
